iter	Passed	Remaining
1300	54860	4161959
1301	54895	4161365
1302	54939	4161455
1303	54976	4161002
1304	55020	4161145
1305	55059	4160850
1306	55106	4161127
1307	55140	4160458
1308	55185	4160642
1309	55221	4160131
1310	55263	4160083
1311	55297	4159454
1312	55339	4159402
1313	55375	4158914
1314	55419	4159015
1315	55456	4158600
1316	55500	4158682
1317	55538	4158287
1318	55581	4158360
1319	55617	4157805
1320	55660	4157832
1321	55694	4157188
1322	55736	4157171
1323	55775	4156872
1324	55823	4157249
1325	55858	4156691
1326	55903	4156843
1327	55939	4156345
1328	55984	4156543
1329	56018	4155905
1330	56063	4156092
1331	56098	4155500
1332	56142	4155563
1333	56178	4155122
1334	56222	4155194
1335	56257	4154669
1336	56304	4154922
1337	56338	4154323
1338	56382	4154377
1339	56417	4153869
1340	56462	4154005
1341	56500	4153635
1342	56543	4153680
1343	56577	4153044
1344	56618	4152929
1345	56655	4152517
1346	56698	4152520
1347	56733	4151962
1348	56777	4152063
1349	56813	4151573
1350	56856	4151649
1351	56893	4151222
1352	56937	4151294
1353	56972	4150740
1354	57016	4150820
1355	57051	4150274
1356	57095	4150383
1357	57130	4149819
1358	57177	4150119
1359	57213	4149679
1360	57259	4149870
1361	57295	4149406
1362	57342	4149721
1363	57379	4149313
1364	57423	4149460
1365	57456	4148756
1366	57500	4148800
1367	57534	4148196
1368	57580	4148472
1369	57614	4147803
1370	57655	4147715
1371	57689	4147098
1372	57733	4147166
1373	57768	4146608
1374	57812	4146764
1375	57849	4146297
1376	57894	4146471
1377	57932	4146134
1378	57974	4146091
1379	58008	4145537
1380	58054	4145750
1381	58090	4145263
1382	58137	4145554
1383	58174	4145189
1384	58219	4145326
1385	58253	4144767
1386	58297	4144806
1387	58331	4144235
1388	58373	4144210
1389	58408	4143625
1390	58452	4143736
1391	58487	4143201
1392	58534	4143537
1393	58570	4143075
1394	58615	4143200
1395	58652	4142786
1396	58696	4142888
1397	58732	4142425
1398	58774	4142427
1399	58812	4142081
1400	58854	4142065
1401	58890	4141573
1402	58935	4141775
1403	58969	4141146
1404	59013	4141237
1405	59048	4140721
1406	59095	4140997
1407	59129	4140405
1408	59173	4140522
1409	59207	4139896
1410	59249	4139894
1411	59287	4139522
1412	59332	4139681
1413	59365	4139069
1414	59411	4139275
1415	59446	4138752
1416	59492	4138998
1417	59527	4138466
1418	59572	4138647
1419	59605	4137964
1420	59651	4138179
1421	59685	4137614
1422	59730	4137804
1423	59765	4137247
1424	59809	4137344
1425	59848	4137114
1426	59893	4137273
1427	59929	4136802
1428	59974	4136954
1429	60011	4136627
1430	60054	4136623
1431	60091	4136226
1432	60134	4136282
1433	60171	4135875
1434	60217	4136093
1435	60251	4135518
1436	60296	4135670
1437	60331	4135175
1438	60376	4135378
1439	60411	4134826
1440	60453	4134773
1441	60487	4134193
1442	60531	4134308
1443	60565	4133722
1444	60609	4133842
1445	60647	4133510
1446	60689	4133491
1447	60726	4133080
1448	60769	4133093
1449	60804	4132604
1450	60846	4132602
1451	60883	4132213
1452	60930	4132463
1453	60962	4131810
1454	61006	4131906
1455	61043	4131492
1456	61087	4131608
1457	61122	4131061
1458	61165	4131096
1459	61201	4130684
1460	61246	4130880
1461	61285	4130586
1462	61329	4130690
1463	61365	4130235
1464	61410	4130436
1465	61443	4129795
1466	61485	4129748
1467	61521	4129336
1468	61565	4129428
1469	61601	4128975
1470	61646	4129124
1471	61681	4128667
1472	61727	4128875
1473	61762	4128396
1474	61807	4128501
1475	61840	4127865
1476	61883	4127956
1477	61916	4127265
1478	61958	4127289
1479	61997	4127011
1480	62022	4125831
1481	62057	4125385
